0.494,0.378,0.286,0.255,0.217,0.085,0.071,0.061,0.057,0.055,0.109,0.124,0.154,0.161,0.164,1
0.487,0.367,0.283,0.218,0.154,0.061,0.05,0.043,0.039,0.038,0.165,0.187,0.235,0.256,0.255,1
0.56,0.465,0.39,0.331,0.261,0.11,0.096,0.086,0.08,0.077,0.067,0.074,0.093,0.097,0.098,1
0.564,0.465,0.388,0.345,0.296,0.109,0.094,0.084,0.08,0.076,0.069,0.077,0.093,0.1,0.101,1
0.58,0.499,0.428,0.368,0.314,0.128,0.114,0.104,0.096,0.092,0.066,0.073,0.088,0.096,0.095,1
0.555,0.446,0.358,0.29,0.249,0.119,0.101,0.087,0.078,0.073,0.076,0.086,0.106,0.113,0.113,1
0.556,0.433,0.322,0.23,0.149,0.078,0.065,0.053,0.045,0.039,0.134,0.154,0.209,0.249,0.277,2
0.483,0.366,0.27,0.196,0.131,0.074,0.061,0.051,0.043,0.037,0.124,0.142,0.187,0.218,0.238,2
0.459,0.34,0.249,0.182,0.147,0.075,0.061,0.052,0.046,0.043,0.117,0.135,0.179,0.204,0.211,2
0.532,0.416,0.325,0.261,0.219,0.105,0.088,0.076,0.068,0.063,0.091,0.104,0.137,0.156,0.164,2
0.433,0.319,0.241,0.176,0.134,0.076,0.062,0.053,0.046,0.043,0.131,0.149,0.191,0.212,0.215,2
0.473,0.352,0.266,0.197,0.152,0.081,0.068,0.058,0.051,0.047,0.132,0.15,0.196,0.222,0.236,2
0.546,0.436,0.336,0.267,0.217,0.113,0.096,0.082,0.073,0.069,0.073,0.082,0.105,0.115,0.12,2
0.526,0.413,0.309,0.216,0.12,0.061,0.052,0.045,0.04,0.036,0.153,0.171,0.218,0.245,0.26,2
0.464,0.372,0.304,0.253,0.203,0.096,0.083,0.074,0.068,0.064,0.1,0.111,0.136,0.151,0.158,2
0.539,0.417,0.308,0.21,0.135,0.072,0.06,0.051,0.044,0.04,0.123,0.139,0.18,0.208,0.223,2
0.524,0.41,0.312,0.218,0.168,0.08,0.067,0.056,0.048,0.045,0.119,0.136,0.184,0.217,0.231,2
0.416,0.287,0.191,0.124,0.085,0.048,0.038,0.031,0.026,0.023,0.213,0.245,0.326,0.384,0.418,2
0.49,0.376,0.286,0.221,0.173,0.086,0.071,0.062,0.055,0.053,0.141,0.161,0.206,0.224,0.224,2
0.506,0.389,0.302,0.239,0.187,0.095,0.079,0.068,0.06,0.056,0.09,0.103,0.132,0.145,0.149,2
0.516,0.394,0.29,0.229,0.203,0.093,0.077,0.064,0.058,0.056,0.112,0.127,0.166,0.185,0.183,2
0.385,0.272,0.183,0.121,0.083,0.044,0.036,0.03,0.026,0.024,0.257,0.291,0.372,0.416,0.433,2
0.478,0.367,0.274,0.203,0.152,0.065,0.054,0.046,0.04,0.035,0.144,0.164,0.219,0.26,0.286,2
0.57,0.462,0.378,0.325,0.27,0.128,0.109,0.096,0.088,0.083,0.06,0.067,0.083,0.091,0.092,2
0.414,0.314,0.239,0.191,0.163,0.08,0.067,0.059,0.054,0.051,0.126,0.142,0.177,0.19,0.188,2
0.518,0.413,0.325,0.255,0.218,0.104,0.088,0.077,0.069,0.065,0.084,0.095,0.122,0.136,0.138,2
0.486,0.355,0.254,0.183,0.143,0.07,0.057,0.047,0.04,0.037,0.137,0.159,0.221,0.262,0.28,2
0.535,0.397,0.277,0.182,0.114,0.059,0.048,0.039,0.033,0.028,0.165,0.19,0.263,0.313,0.345,2
0.49,0.388,0.306,0.255,0.215,0.086,0.073,0.064,0.057,0.054,0.094,0.104,0.129,0.145,0.153,2
0.486,0.368,0.278,0.21,0.157,0.079,0.066,0.056,0.049,0.044,0.122,0.139,0.186,0.216,0.229,2
